City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,callao,-12.0667,-77.15,71.89,78,40,9.22,PE,1684145978
111,polyarnyy,69.1989,33.4478,45.18,90,87,4.41,RU,1684145979
112,harper,4.375,-7.7169,80.51,85,98,8.03,LR,1684145979
113,ust-nera,64.5667,143.2,33.84,82,100,4.94,RU,1684145979
114,chonchi,-42.6128,-73.8092,52.12,92,100,5.41,CL,1684145979
115,ghat,24.9647,10.1728,85.46,21,56,15.52,LY,1684145902
116,freeport,40.6576,-73.5832,56.98,58,0,5.75,US,1684145980
117,inari,68.906,27.0288,66.4,46,48,12.3,FI,1684145980
118,massawa,15.6097,39.45,95.43,54,1,12.5,ER,1684145980
119,kolonia,50.9333,6.95,66.96,64,90,8.63,DE,1684145822
120,dzhalagash,45.0833,64.6667,78.15,26,97,15.01,KZ,1684145981
121,natal,-5.795,-35.2094,77.65,100,40,4.61,BR,1684145981
122,lethbridge,49.7,-112.8186,49.66,87,0,9.22,CA,1684145833
123,barra de santo antonio,-9.4047,-35.5072,76.28,76,93,7.16,BR,1684145981
124,kili,5.6439,169.1211,82.09,82,100,12.55,MH,1684145982
125,shache,38.4167,77.2406,87.94,8,17,3.22,CN,1684145753
126,mundybash,53.211,87.2983,58.75,24,66,9.44,RU,1684145982
127,tamanrasset,22.785,5.5228,87.71,10,78,13.8,DZ,1684145697
128,dingcheng,32.1272,115.0394,85.19,43,73,12.75,CN,1684145743
129,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,66,0,4.47,RU,1684145874
130,altai,46.3722,96.2583,52.54,26,83,21.56,MN,1684145984
131,puerto baquerizo moreno,-0.9,-89.6,77.38,78,100,12.19,EC,1684145984
132,povorino,51.1945,42.2457,64.22,53,8,10.0,RU,1684145984
133,palikir - national government center,6.9248,158.1611,81.34,83,75,8.05,FM,1684145984
134,uturoa,-16.7333,-151.4333,80.65,75,6,3.42,PF,1684145985
135,chicoana,-25.1009,-65.5331,57.25,84,0,1.59,AR,1684145985
136,floro,61.5996,5.0328,53.24,93,75,9.22,NO,1684145985
137,shalya,57.2471,58.7298,62.33,37,8,6.38,RU,1684145985
138,ginir,7.1333,40.7,72.82,59,46,5.12,ET,1684145986
139,letterkenny,54.95,-7.7333,53.53,59,34,11.07,IE,1684145986
140,jiazi,22.8779,116.067,75.79,80,100,11.45,CN,1684145986
141,prince rupert,54.3161,-130.3201,55.09,94,0,13.8,CA,1684145986
142,hadibu,12.65,54.0333,89.01,68,85,3.89,YE,1684145987
143,vadso,70.0744,29.7487,67.08,54,0,9.22,NO,1684145987
144,kailua-kona,19.6406,-155.9956,75.16,88,75,6.91,US,1684145987
145,tyukhtet,56.5389,89.3011,50.7,24,100,10.94,RU,1684145987
146,bria,6.5423,21.9863,101.7,25,2,4.21,CF,1684145954
147,qorovulbozor,39.5006,64.7936,94.71,11,22,11.14,UZ,1684145989
148,podporozh'ye,60.9112,34.1706,68.99,34,72,5.75,RU,1684145989
149,quepos,9.4236,-84.1652,80.46,80,100,3.4,CR,1684145989
150,carnarvon,-24.8667,113.6333,70.79,42,0,15.77,AU,1684145989
151,talnakh,69.4865,88.3972,25.21,91,100,16.24,RU,1684145989
152,strezhevoy,60.7333,77.5889,48.92,41,100,14.2,RU,1684145990
153,jamestown,42.097,-79.2353,40.64,92,0,1.01,US,1684145810
154,swan hill,-35.3378,143.5544,58.98,44,8,4.52,AU,1684145990
155,vershino-darasunskiy,52.35,115.5167,46.56,14,2,12.37,RU,1684145990
156,'ain el melh,34.8415,4.1638,61.39,34,1,23.4,DZ,1684145991
157,mbandaka,0.0487,18.2603,90.19,50,61,3.69,CD,1684145991
158,nagornyy,52.7959,83.5498,61.68,27,13,6.49,RU,1684145992
159,hawaiian paradise park,19.5933,-154.9731,69.31,91,100,4.61,US,1684145992
160,el granada,37.5027,-122.4694,59.95,91,100,6.91,US,1684145992
161,cadale,2.7603,46.3222,84.99,63,84,22.12,SO,1684145992
162,port lincoln,-34.7333,135.8667,60.49,74,0,7.67,AU,1684145992
163,west island,-12.1568,96.8225,84.18,70,20,13.8,CC,1684145993
164,malindi,-3.2175,40.1191,83.46,72,25,15.99,KE,1684145717
165,englewood,39.6478,-104.9878,49.8,96,100,6.91,US,1684145823
166,salto,-31.3833,-57.9667,46.56,100,0,4.61,UY,1684145993
167,pangoa,-12.1167,-73.0,69.04,86,91,1.5,PE,1684145994
168,geraldton,-28.7667,114.6,64.81,59,0,11.5,AU,1684145783
169,pisco,-13.7,-76.2167,62.65,88,74,5.75,PE,1684145994
170,klyuchi,52.2667,79.1667,65.03,22,1,9.01,RU,1684145994
171,pangkalanbuun,-2.6833,111.6167,82.96,68,26,4.54,ID,1684145859
172,bethel,41.3712,-73.414,50.49,77,0,0.0,US,1684145995
173,sydney,-33.8679,151.2073,59.36,87,2,4.45,AU,1684145823
174,tucuma,-0.1833,-50.05,76.57,94,89,3.76,BR,1684145805
175,ocean shores,46.9737,-124.1563,71.6,61,0,3.44,US,1684145995
176,kapuskasing,49.4169,-82.4331,48.29,34,75,16.11,CA,1684145996
177,mrakovo,52.7161,56.6244,64.2,44,58,2.44,RU,1684145996
178,newman,37.3138,-121.0208,62.29,56,0,1.01,US,1684145996
179,juchipila,21.4167,-103.1167,67.05,44,0,2.13,MX,1684145996
180,kapa'a,22.0752,-159.319,71.58,83,100,8.05,US,1684145997
181,enewetak,11.3474,162.3373,81.75,79,100,17.31,MH,1684145997
182,toliara,-23.35,43.6667,82.02,56,2,9.84,MG,1684145729
183,el nido,11.1858,119.3956,85.03,73,43,7.14,PH,1684145997
184,cidreira,-30.1811,-50.2056,59.52,84,100,10.71,BR,1684145998
185,bandon,51.7469,-8.7425,54.99,68,17,11.21,IE,1684145998
186,xai-xai,-25.0519,33.6442,73.4,75,69,13.35,MZ,1684145999
187,t'ongch'on-up,38.9539,127.8917,67.53,66,36,9.26,KP,1684145999
188,ciudad bolivar,8.1222,-63.5497,78.21,77,46,7.07,VE,1684145999
189,kalawit,8.0667,122.5167,82.51,79,13,5.82,PH,1684146000
190,toormina,-30.3526,153.0903,63.07,94,100,0.0,AU,1684146000
191,mossel bay,-34.1831,22.146,64.33,59,1,3.24,ZA,1684146000
192,fisterra,42.9049,-9.2629,56.75,73,54,19.01,ES,1684146000
193,greenville,35.6127,-77.3663,53.76,94,0,0.0,US,1684146000
194,axim,4.8699,-2.2405,81.68,80,100,3.29,GH,1684146001
195,sitka,57.0531,-135.33,51.69,82,0,0.0,US,1684146001
196,fukuecho,32.6881,128.8419,66.56,88,75,6.91,JP,1684146001
197,hami,42.8,93.45,83.46,15,58,15.52,CN,1684146002
198,barentu,15.1139,37.5928,100.69,11,4,7.43,ER,1684145747
199,changyon,38.2508,125.0961,64.38,71,1,9.55,KP,1684146002
200,kavaratti,10.5669,72.642,85.62,70,49,10.76,IN,1684145857
201,vilyuchinsk,52.9306,158.4028,53.87,83,9,8.99,RU,1684146003
202,avarua,-21.2078,-159.775,75.25,78,75,5.75,CK,1684146003
203,maceio,-9.6658,-35.7353,76.44,94,40,3.44,BR,1684146003
204,margate,51.3813,1.3862,56.7,59,100,11.01,GB,1684146004
205,togur,58.3631,82.8265,47.97,28,100,9.46,RU,1684146004
206,port mathurin,-19.6833,63.4167,78.24,68,0,10.69,MU,1684146004
207,aldinga beach,-35.2793,138.4604,63.66,62,0,2.98,AU,1684146005
208,sinop,41.7711,34.8709,55.83,41,53,4.45,TR,1684145930
209,buka,40.8108,69.1986,93.33,17,2,7.47,UZ,1684145729
210,paita,-5.0892,-81.1144,74.77,83,98,11.45,PE,1684145869
211,la condamine,43.7344,7.4202,72.28,72,20,6.91,MC,1684146005
212,liptovsky hradok,49.0396,19.7234,59.97,91,98,5.08,SK,1684146006
213,pocora,10.1718,-83.6044,79.63,91,100,2.77,CR,1684146006
214,olinda,-8.0089,-34.8553,82.13,74,40,8.05,BR,1684145782
215,aykhal,66.0,111.5,32.88,81,100,6.53,RU,1684146006
216,fountainebleau,25.7729,-80.3478,75.22,92,0,0.0,US,1684146007
217,vernon,50.2581,-119.2691,64.29,48,0,3.0,CA,1684145784
218,lata,40.1629,-8.3327,68.07,46,48,6.51,PT,1684146007
219,iskushuban,10.2837,50.23,100.96,27,49,14.09,SO,1684146007
220,angaur state,6.906,134.13,85.19,68,99,9.91,PW,1684146007
221,tvoroyri,61.5556,-6.8111,45.34,78,75,11.25,FO,1684146008
222,guayaramerin,-10.8368,-65.3614,69.51,94,84,2.75,BO,1684145847
223,rongelap,11.1635,166.8941,81.46,79,77,12.91,MH,1684146008
224,arraial do cabo,-22.9661,-42.0278,69.66,88,0,4.61,BR,1684146008
225,saint-philippe,-21.3585,55.7679,81.99,81,37,7.76,RE,1684146009
226,bismarck,46.8083,-100.7837,56.8,86,0,4.61,US,1684145753
227,barkot,30.8167,78.2,86.05,16,52,8.19,IN,1684146009
228,kokopo,-4.352,152.2633,79.34,85,34,4.23,PG,1684146009
229,bamboo flat,11.7,92.7167,86.13,72,100,14.97,IN,1684146010
230,masallatah,32.6167,14.0,66.79,70,29,31.52,LY,1684146010
231,aginskoye,51.1,114.53,51.71,13,65,15.48,RU,1684145946
232,columbia falls,48.3725,-114.1815,54.01,80,0,3.44,US,1684146010
233,la'ie,21.6477,-157.9253,73.11,68,96,11.43,US,1684146011
234,vilkaviskis,54.6517,23.0322,70.09,51,100,13.4,LT,1684146011
235,vorgashor,67.5833,63.95,31.33,88,100,20.78,RU,1684145724
236,marsh harbour,26.5412,-77.0636,77.0,74,89,9.71,BS,1684146011
237,williston,48.147,-103.618,43.54,62,0,3.44,US,1684146011
238,udachny,66.4167,112.4,39.45,64,90,7.92,RU,1684146012
239,kiffa,16.6166,-11.4045,97.03,23,64,6.91,MR,1684146012
240,loch garman,52.3342,-6.4575,56.12,71,6,10.0,IE,1684146013
241,venice,27.0998,-82.4543,72.99,92,0,6.91,US,1684146013
242,khandyga,62.6667,135.6,43.45,76,100,7.02,RU,1684146013
243,prineville,44.2999,-120.8345,58.51,64,40,5.75,US,1684146013
244,leninsk-kuznetsky,54.6567,86.1737,58.91,30,100,13.2,RU,1684146014
245,al ghayzah,16.2079,52.176,92.12,58,0,15.01,YE,1684146014
246,pitimbu,-7.4706,-34.8086,79.39,79,100,11.54,BR,1684146014
247,elverum,60.8819,11.5623,62.38,49,100,8.75,NO,1684146014
248,basawul,34.2475,70.8722,95.72,18,0,9.91,AF,1684146014
249,badiyah,22.45,58.8,106.34,9,0,8.08,OM,1684146015
250,bandarbeyla,9.4942,50.8122,92.89,52,98,19.66,SO,1684146015
251,la gi,10.6667,107.7833,86.31,71,29,10.67,VN,1684146015
252,zhangye,38.9342,100.4517,82.51,10,88,6.89,CN,1684146015
253,tsiombe,-25.3,45.4833,85.26,45,64,8.03,MG,1684146016
254,north bend,43.4065,-124.2243,55.92,96,100,6.91,US,1684146016
255,ain sukhna,29.6002,32.3167,86.14,24,7,4.38,EG,1684145744
256,aasiaat,68.7098,-52.8699,20.52,81,100,13.89,GL,1684146017
257,manado,1.487,124.8455,84.97,84,40,2.3,ID,1684146017
258,kone,-21.0595,164.8658,70.5,81,59,4.81,NC,1684146017
259,huambo,-12.7761,15.7392,77.86,37,85,3.78,AO,1684146017
260,mersa matruh,31.3525,27.2453,73.98,56,0,10.27,EG,1684145802
261,queenstown,-31.8976,26.8753,49.98,78,99,4.68,ZA,1684145739
262,anamosa,42.1083,-91.2852,53.65,69,100,9.53,US,1684146018
263,atoyac de alvarez,17.2,-100.4333,77.97,80,2,3.11,MX,1684145808
